Val loss: 0.21708233459637716, pck_50: 96.56615290346903, pck_40: 93.70298359728504, pck_30: 87.83771681749619, pck_20: 75.3331212292609, pck_10: 43.90259709653089, pck_5: 16.590898378582196
Val loss: 0.21495616304186674, pck_50: 96.59761500754146, pck_40: 93.93323435143283, pck_30: 88.36279223227753, pck_20: 75.96813725490196, pck_10: 44.17986425339363, pck_5: 16.712269042232293
Val loss: 0.21518795885718786, pck_50: 96.56485671191557, pck_40: 93.88822115384619, pck_30: 88.27359068627447, pck_20: 75.94798736802422, pck_10: 44.51227846907992, pck_5: 16.895974736048267
Val loss: 0.21481438282017523, pck_50: 96.56191082202122, pck_40: 93.92604638009045, pck_30: 88.41935331825051, pck_20: 76.31315987933627, pck_10: 44.89312311463048, pck_5: 17.04067684766214
Val loss: 0.21549206169751975, pck_50: 96.54152526395178, pck_40: 93.77179958521867, pck_30: 88.11663367269983, pck_20: 75.86149604072398, pck_10: 44.724736048265456, pck_5: 17.1525028280543
Val loss: 0.21431423207888237, pck_50: 96.56933446455506, pck_40: 93.82800716440421, pck_30: 88.27736142533944, pck_20: 76.08715120663646, pck_10: 44.97372266214182, pck_5: 17.261854260935145
Val loss: 0.2143005553059853, pck_50: 96.57687594268488, pck_40: 93.761076546003, pck_30: 88.14974547511311, pck_20: 76.04696926847657, pck_10: 45.0324047888386, pck_5: 17.2057645173454
Val loss: 0.21351013980232753, pck_50: 96.58394607843138, pck_40: 93.81987650829569, pck_30: 88.23611896681756, pck_20: 76.1503110859729, pck_10: 45.3081400829563, pck_5: 17.513197586727003
Val loss: 0.21460813123446246, pck_50: 96.5344551282052, pck_40: 93.81021398944193, pck_30: 88.25249811463043, pck_20: 76.0880938914027, pck_10: 45.14423076923077, pck_5: 17.356594079939658
Val loss: 0.21440540798581564, pck_50: 96.54364630467582, pck_40: 93.82800716440423, pck_30: 88.32378865007549, pck_20: 76.26307975113122, pck_10: 45.500919117647065, pck_5: 17.566812782805435
Val loss: 0.21294797687576367, pck_50: 96.5537801659126, pck_40: 93.83059954751126, pck_30: 88.32873774509805, pck_20: 76.40283276772261, pck_10: 45.97497171945698, pck_5: 17.87377450980391
Val loss: 0.21424025214062287, pck_50: 96.53009521116145, pck_40: 93.74787895927605, pck_30: 88.2071314102564, pck_20: 76.22560803167411, pck_10: 45.647153092006064, pck_5: 17.618778280542983
Val loss: 0.2138935577697479, pck_50: 96.55495852187036, pck_40: 93.7316176470588, pck_30: 88.08057598039217, pck_20: 75.9735576923077, pck_10: 45.54993872549019, pck_5: 17.837127639517345
Val loss: 0.2137364917076551, pck_50: 96.49003110859731, pck_40: 93.58503016591254, pck_30: 87.89463141025638, pck_20: 75.99347190799398, pck_10: 45.882117269984946, pck_5: 17.92903940422322
Val loss: 0.2133739567719973, pck_50: 96.52467477375573, pck_40: 93.88185803167424, pck_30: 88.57324660633485, pck_20: 76.7617599924585, pck_10: 46.092335972850684, pck_5: 18.073623680241315
Val loss: 0.2144382213170712, pck_50: 96.51124151583707, pck_40: 93.81728412518855, pck_30: 88.38164592760187, pck_20: 76.4676423453997, pck_10: 45.89307598039212, pck_5: 17.936816553544485
Val loss: 0.21381852325911704, pck_50: 96.52927036199104, pck_40: 93.77851621417793, pck_30: 88.28572775263947, pck_20: 76.31021398944186, pck_10: 45.91004430618406, pck_5: 17.99549868024133
Val loss: 0.2138569099112199, pck_50: 96.51654411764713, pck_40: 93.7454044117647, pck_30: 88.29786481900459, pck_20: 76.45208804675717, pck_10: 46.21276395173457, pck_5: 18.282192684766198
Val loss: 0.2129018230507007, pck_50: 96.5074707767723, pck_40: 93.71959841628967, pck_30: 88.27842194570134, pck_20: 76.44784596530924, pck_10: 46.275334653092024, pck_5: 18.273472850678722
Val loss: 0.21385065119426985, pck_50: 96.47824754901956, pck_40: 93.67317119155364, pck_30: 88.2126696832579, pck_20: 76.41449849170432, pck_10: 46.474123303167445, pck_5: 18.457414215686256
Val loss: 0.21242909322564418, pck_50: 96.53940422322776, pck_40: 93.76414027149322, pck_30: 88.28879147812967, pck_20: 76.56933446455511, pck_10: 46.55472285067869, pck_5: 18.339460784313733
Val loss: 0.21332990386738226, pck_50: 96.53315893665157, pck_40: 93.81928733031678, pck_30: 88.44162424585217, pck_20: 76.68222096530924, pck_10: 46.67302978883866, pck_5: 18.71500282805431
Val loss: 0.2131717491035278, pck_50: 96.51583710407229, pck_40: 93.88020833333334, pck_30: 88.59398567119156, pck_20: 76.83870663650077, pck_10: 46.43347002262444, pck_5: 18.458592571644047
Val loss: 0.21416809934263045, pck_50: 96.46269325037707, pck_40: 93.78099076168927, pck_30: 88.48781579939676, pck_20: 76.73124057315233, pck_10: 46.42969928355965, pck_5: 18.50619815233785
Val loss: 0.21459868229s35251, pck_50: 96.44383955505275, pck_40: 93.68577960030174, pck_30: 88.21090214932126, pck_20: 76.35864441930617, pck_10: 46.385157428355996, pck_5: 18.490172511312217
Val loss: 0.21245882571316682, pck_50: 96.53198058069383, pck_40: 93.83696266968317, pck_30: 88.54755844645554, pck_20: 76.8593278657617, pck_10: 47.111613876319716, pck_5: 19.0001649698341
Val loss: 0.2128513546803823, pck_50: 96.52832767722475, pck_40: 93.78876791101068, pck_30: 88.44822303921569, pck_20: 76.78355957767712, pck_10: 47.21377733785822, pck_5: 18.974594645550525
Val loss: 0.2158692890061782, pck_50: 96.38786764705888, pck_40: 93.53942779034703, pck_30: 88.17625848416294, pck_20: 76.4285209276018, pck_10: 46.91223604826548, pck_5: 18.887042797888395
Val loss: 0.21398397787259174, pck_50: 96.46127922322772, pck_40: 93.794895361991, pck_30: 88.5620522247361, pck_20: 76.90610859728501, pck_10: 46.93073623680244, pck_5: 18.806561085972838
Val loss: 0.21442685949687773, pck_50: 96.45090969079945, pck_40: 93.72219079939671, pck_30: 88.50655165912535, pck_20: 76.98930052790341, pck_10: 47.41303733031674, pck_5: 19.145809766214168
